"synset","rating","words","examples__001","examples__002","examples__003","examples__004","examples__005","examples__006","examples__007","examples__008","examples__009","examples__010","examples__011","words__-"
"5995898","1.0","","","","","","","","","","","","","monetarism"
"1558749","0.6","driven","felt impelled to take a stand against the issue","","","","","","","","","","",""
"","","impelled","","","","","","","","","","","",""
"1421122","0.17204301075268819","plug in","Please plug in the toaster!","Connect the TV so we can watch the football game tonight","","","","","","","","","",""
"","","plug into","","","","","","","","","","","",""
"","","connect","","","","","","","","","","","",""
"627693","1.1","","He misread the data","","","","","","","","","","","misread"
"2298632","0.4444444444444444","offer","The Swiss dealer offered $2 million for the painting","","","","","","","","","","",""
"","","bid","","","","","","","","","","","",""
"","","tender","","","","","","","","","","","",""
"3082656","1.1111111111111112","compression bandage","","","","","","","","","","","",""
"","","tourniquet","","","","","","","","","","","",""
"2749690","1.8888888888888888","","","","","","","","","","","","","insecticidal"
"434097","1.7762096774193548","","glaucous stems","glaucous plums","glaucous grapes","","","","","","","","","glaucous"
"7175241","0.18361153262518967","","","","","","","","","","","","","agreement"
"4804306","0.5","","","","","","","","","","","","","fidelity"
"2673022","1.8333333333333333","","","","","","","","","","","","","cadastral"
"1968352","1.5","","nightly television now goes on until 3:00 or 4:00 a.m.","","","","","","","","","","","nightly"
"376106","0.875","dissolve","The sun melted the ice","the ice thawed","the ice cream melted","The heat melted the wax","The giant iceberg dissolved over the years during the global warming phase","dethaw the meat","","","","","",""
"","","thaw","","","","","","","","","","","",""
"","","unfreeze","","","","","","","","","","","",""
"","","unthaw","","","","","","","","","","","",""
"","","dethaw","","","","","","","","","","","",""
"","","melt","","","","","","","","","","","",""
"1860465","0.10526315789473684","","one-on-one instruction","","","","","","","","","","","one-on-one"
"2688794","0.1550632911392405","","The roofs of the houses overlap in this crowded city","","","","","","","","","","","overlap"
"564504","0.28144654088050314","adversative","the adversative conjunction `but' in `poor but happy'","","","","","","","","","","",""
"","","oppositive","","","","","","","","","","","",""
"1994404","1.2582322357019065","","honorific social status commonly attaches to membership in a recognized profession","","","","","","","","","","","honorific"
"13907272","1.5","crevice","","","","","","","","","","","",""
