synset,rating,list,word
572714,0,"['knocked out', 'kayoed', '""KOd""', 'out', 'stunned']","""KOd"""
1771194,0.5,"['get', '""get under ones skin""']","""get under ones skin"""
462301,0.125,"['south-southwest', '""sou-sou-west""']","""sou-sou-west"""
250898,0.5,"['between', '""tween""']","""tween"""
2203763,0.4,"['thirteenth', '13th']",13th
2202047,0.333333333,"['first', '1st']",1st
2186470,0,"['two', '2', 'ii']",2
2202146,0.333333333,"['second', '2nd', '2d']",2d
2202146,0.333333333,"['second', '2nd', '2d']",2nd
660809,0.333333333,"['three-dimensional', '3-dimensional', 'third-dimensional', 'three-d']",3-dimensional
661146,0.5,"['four-dimensional', '4-dimensional']",4-dimensional
2202854,0,"['sixth', '6th']",6th
8440630,0.5,"['dictatorship', 'absolutism', 'authoritarianism', 'Caesarism', 'despotism', 'monocracy', 'one-man rule', 'shogunate', 'Stalinism', 'totalitarianism', 'tyranny']",Caesarism
7999068,0.3125,"['intersection', 'product', 'Cartesian product']",Cartesian product
5843236,0,"['perpendicular', 'perpendicular style', 'English-Gothic', 'English-Gothic architecture']",English-Gothic
5843236,0,"['perpendicular', 'perpendicular style', 'English-Gothic', 'English-Gothic architecture']",English-Gothic architecture
2219015,0.333333333,"['birch leaf miner', 'Fenusa pusilla']",Fenusa pusilla
806502,0.333333333,"['approve', 'O.K.', 'okay', 'sanction']",O.K.
8440630,0.5,"['dictatorship', 'absolutism', 'authoritarianism', 'Caesarism', 'despotism', 'monocracy', 'one-man rule', 'shogunate', 'Stalinism', 'totalitarianism', 'tyranny']",Stalinism
103194,0,"['initially', 'ab initio']",ab initio
2228031,0,['abandon'],abandon
1203676,0,"['conformity', 'conformation', 'compliance', 'abidance']",abidance
249736,0,"['aboard', 'on base']",aboard
7015,0,"['approximately', 'about', 'close to', 'just about', 'some', 'roughly', 'more or less', 'around', 'or so']",about
79947,0.25,"['above', 'supra']",above
1306645,0.428571429,"['abreast', 'au courant', 'au fait', 'up on']",abreast
1037763,0,"['abroad', 'overseas']",abroad
520892,0,"['absolute', 'downright', 'out-and-out', 'rank', 'right-down', 'sheer']",absolute
13581067,0,"['majority', 'absolute majority']",absolute majority
8440630,0.5,"['dictatorship', 'absolutism', 'authoritarianism', 'Caesarism', 'despotism', 'monocracy', 'one-man rule', 'shogunate', 'Stalinism', 'totalitarianism', 'tyranny']",absolutism
903711,0.142857143,"['shrive', 'absolve']",absolve
602255,0,"['absorb', 'assimilate', 'ingest', 'take in']",absorb
5704266,0,"['concentration', 'engrossment', 'absorption', 'immersion']",absorption
1196037,0.5,"['abstain', 'refrain', 'desist']",abstain
6715223,0.333333333,"['abuse', 'insult', 'revilement', 'contumely', 'vilification']",abuse
1466978,0,"['border', 'adjoin', 'edge', 'abut', 'march', 'butt', 'butt against', 'butt on']",abut
878348,0,"['submit', 'bow', 'defer', 'accede', 'give in']",accede
686447,0,['accept'],accept
180413,0.333333333,"['adoption', 'acceptance', 'acceptation', 'espousal']",acceptance
180413,0.333333333,"['adoption', 'acceptance', 'acceptation', 'espousal']",acceptation
5176188,0.5,"['entree', 'access', 'accession', 'admission', 'admittance']",access
4718999,0.5,"['handiness', 'accessibility', 'availability', 'availableness']",accessibility
5176188,0.5,"['entree', 'access', 'accession', 'admission', 'admittance']",accession
2354897,0,"['accessory', 'adjunct', 'ancillary', 'adjuvant', 'appurtenant', 'auxiliary']",accessory
2651424,0.333333333,"['lodge', 'accommodate']",accommodate
7369604,0.333333333,"['adjustment', 'accommodation', 'fitting']",accommodation
46339,0,"['accommodative', 'reconciling']",accommodative
827782,0.2,"['escort', 'accompaniment']",accompaniment
2716767,0,"['company', 'companion', 'accompany', 'keep company']",accompany
122844,0,"['attendant', 'consequent', 'accompanying', 'concomitant', 'incidental', 'ensuant', 'resultant', 'sequent']",accompanying
1640855,0,"['carry through', 'accomplish', 'execute', 'carry out', 'action', 'fulfill', 'fulfil']",accomplish
13971065,0,"['agreement', 'accord']",accord
7176804,0,"['accord', 'conformity', 'accordance']",accordance
471572,0,['according'],according
62857,0,"['consequently', 'accordingly']",accordingly
990655,0.333333333,"['address', 'accost', 'come up to']",accost
9179382,0,"['score', 'account']",account
4669828,0,"['accountability', 'answerability', 'answerableness']",accountability
2304982,0.333333333,"['roll up', 'collect', 'accumulate', 'pile up', 'amass', 'compile', 'hoard']",accumulate
7951464,0,"['collection', 'aggregation', 'accumulation', 'assemblage']",accumulation
6730780,0.333333333,"['accusation', 'charge']",accusation
842989,0,"['accuse', 'impeach', 'incriminate', 'criminate']",accuse
273445,0.5,"['habituate', 'accustom']",accustom
2121511,0,"['hurt', 'ache', 'suffer']",ache
1059123,0.25,"['notice', 'acknowledge']",acknowledge
901103,0,"['introduce', 'present', 'acquaint']",acquaint
13930245,0.25,"['acquaintance', 'acquaintanceship']",acquaintance
13930245,0.25,"['acquaintance', 'acquaintanceship']",acquaintanceship
2695378,0,['acquire'],acquire
272844,0,"['across', 'crosswise', 'crossways']",across
407215,0.444444444,"['nationally', 'nationwide', 'across the nation', 'across the country']",across the country
407215,0.444444444,"['nationally', 'nationwide', 'across the nation', 'across the country']",across the nation
526062,0.25,"['across-the-board', 'all-embracing', 'all-encompassing', 'all-inclusive', 'blanket', 'broad', 'encompassing', 'extensive', 'panoptic', 'wide']",across-the-board
1719921,0,"['act', 'play', 'roleplay', 'playact']",act
2376429,0.333333333,"['pursue', 'follow up on', 'act on']",act on
2536557,0,"['influence', 'act upon', 'work']",act upon
1640855,0,"['carry through', 'accomplish', 'execute', 'carry out', 'action', 'fulfill', 'fulfil']",action
2677718,0,"['action', 'action mechanism']",action mechanism
1643657,0.333333333,"['trip', 'actuate', 'trigger', 'activate', 'set off', 'spark off', 'spark', 'trigger off', 'touch off']",activate
1515280,0.333333333,"['active', 'participating']",active
5901840,0,['activism'],activism
1643657,0.333333333,"['trip', 'actuate', 'trigger', 'activate', 'set off', 'spark off', 'spark', 'trigger off', 'touch off']",actuate
193406,0,['adaptation'],adaptation
182406,0,['add'],add
1328705,0.25,"['append', 'add on', 'supplement', 'affix']",add on
640828,0,"['add', 'add together']",add together
949288,0.2,"['total', 'tot', 'tot up', 'sum', 'sum up', 'summate', 'tote up', 'add', 'add together', 'tally', 'add up']",add up
2679415,0,"['addition', 'add-on', 'improver']",add-on
14062725,0,"['addiction', 'dependence', 'dependance', 'dependency', 'habituation']",addiction
2679415,0,"['addition', 'add-on', 'improver']",addition
48858,0.5,"['extra', 'additional']",additional
990655,0.333333333,"['address', 'accost', 'come up to']",address
1220885,0,"['cling', 'cleave', 'adhere', 'stick', 'cohere']",adhere
447472,0,"['adjacent', 'next', 'side by side']",adjacent
1205696,0,"['touch', 'adjoin', 'meet', 'contact']",adjoin
216038,0,"['adjournment', 'dissolution']",adjournment
2501278,0.5,"['judge', 'adjudicate', 'try']",adjudicate
2354897,0,"['accessory', 'adjunct', 'ancillary', 'adjuvant', 'appurtenant', 'auxiliary']",adjunct
296178,0,"['adjust', 'set', 'correct']",adjust
1682677,0,"['adjusted', 'familiarized', 'familiarised']",adjusted
7369604,0.333333333,"['adjustment', 'accommodation', 'fitting']",adjustment
2354897,0,"['accessory', 'adjunct', 'ancillary', 'adjuvant', 'appurtenant', 'auxiliary']",adjuvant
2431971,0.333333333,"['administer', 'administrate']",administer
2431971,0.333333333,"['administer', 'administrate']",administrate
8164585,0,"['administration', 'governance', 'governing body', 'establishment', 'brass', 'organization', 'organisation']",administration
7215948,0.4,['admission'],admission
2449847,0.2,"['admit', 'let in', 'include']",admit
5176188,0.5,"['entree', 'access', 'accession', 'admission', 'admittance']",admittance
870577,0,"['warn', 'discourage', 'admonish', 'monish']",admonish
14426910,0.333333333,['adolescence'],adolescence
413195,0,"['adopt', 'take in']",adopt
1034296,0.125,"['adopted', 'adoptive']",adopted
180413,0.333333333,"['adoption', 'acceptance', 'acceptation', 'espousal']",adoption
1034296,0.125,"['adopted', 'adoptive']",adoptive
1464433,0.333333333,"['adoring', 'doting', 'fond']",adoring
2386675,0.333333333,"['invest', 'clothe', 'adorn']",adorn
1908539,0.25,"['adulterate', 'adulterated', 'debased']",adulterate
1908539,0.25,"['adulterate', 'adulterated', 'debased']",adulterated
282050,0,"['progress', 'progression', 'procession', 'advance', 'advancement', 'forward motion', 'onward motion']",advance
816839,0.333333333,"['advanced', 'ripe']",advanced
7251984,0,"['promotion', 'furtherance', 'advancement']",advancement
2545272,0.5,"['venture', 'hazard', 'adventure', 'stake', 'jeopardize']",adventure
564504,0.281446541,"['adversative', 'oppositive']",adversative
872886,0,"['rede', 'advise', 'counsel']",advise
1380267,0.5,['aerial'],aerial
13931889,0,"['affair', 'affaire', 'intimacy', 'liaison', 'involvement', 'amour']",affair
13931889,0,"['affair', 'affaire', 'intimacy', 'liaison', 'involvement', 'amour']",affaire
2677097,0,"['involve', 'affect', 'regard']",affect
1559903,0,"['moved', 'affected', 'stirred', 'touched']",affected
1082061,0,['affiliation'],affiliation
13811410,0,"['affinity', 'kinship']",affinity
665886,0,"['confirm', 'corroborate', 'sustain', 'substantiate', 'support', 'affirm']",affirm
996089,0,"['approving', 'affirmative', 'approbative', 'approbatory', 'plausive']",affirmative
1328705,0.25,"['append', 'add on', 'supplement', 'affix']",affix
379422,0,"['attachment', 'affixation']",affixation
1176335,0.333333333,"['affray', 'disturbance', 'fray', 'ruffle']",affray
1033542,0.25,['after'],after
11411610,0,"['aftermath', 'wake', 'backwash']",aftermath
2683936,0.25,['afterthought'],afterthought
61203,0.25,"['subsequently', 'later', 'afterwards', 'afterward', 'after', 'later on']",afterward
61203,0.25,"['subsequently', 'later', 'afterwards', 'afterward', 'after', 'later on']",afterwards
15242955,0.333333333,"['long time', 'age', 'years']",age
1493423,0,"['aged', 'ripened']",aged
14000403,0.333333333,"['representation', 'delegacy', 'agency']",agency
4353803,0,"['sum', 'total', 'totality', 'aggregate']",aggregate
7951464,0,"['collection', 'aggregation', 'accumulation', 'assemblage']",aggregation
1118449,0,"['attack', 'aggress']",aggress
964569,0.333333333,"['aggression', 'hostility']",aggression
1244846,0,"['aggressive', 'belligerent']",aggressive
1089878,0.333333333,"['group', 'aggroup']",aggroup
1893988,0.333333333,"['stir', 'shift', 'budge', 'agitate']",agitate
13814898,0,"['patrilineage', 'agnation']",agnation
728617,0,"['recognize', 'recognise', 'realize', 'realise', 'agnize', 'agnise']",agnise
728617,0,"['recognize', 'recognise', 'realize', 'realise', 'agnize', 'agnise']",agnize
2657219,0,"['match', 'fit', 'correspond', 'check', 'jibe', 'gibe', 'tally', 'agree']",agree
13971065,0,"['agreement', 'accord']",agreement
2790222,0.333333333,['agricultural'],agricultural
66781,0,"['ahead', 'in front', 'before']",ahead
654885,0,"['care', 'attention', 'aid', 'tending']",aid
2353707,0,"['assisted', 'aided']",aided
1150559,0,"['target', 'aim', 'place', 'direct', 'point']",aim
1768724,0.333333333,"['own', 'ain']",ain
6253140,0.166666667,"['dissemination', 'airing', 'public exposure', 'spreading']",airing
2071782,0.5,"['akin', 'kindred']",akin
872414,0.333333333,"['alarm', 'alert']",alarm
13840958,0,"['chemistry', 'interpersonal chemistry', 'alchemy']",alchemy
872414,0.333333333,"['alarm', 'alert']",alert
1349927,0,"['alien', 'foreign']",alien
14415773,0,"['alienation', 'estrangement']",alienation
464321,0,"['align', 'aline', 'line up', 'adjust']",align
1684811,0,"['aligning', 'positioning']",aligning
7415167,0.25,"['conjunction', 'alignment']",alignment
69603,0,['alike'],alike
4744814,0.2,"['likeness', 'alikeness', 'similitude']",alikeness
464321,0,"['align', 'aline', 'line up', 'adjust']",aline
521584,0.3125,['all'],all
151755,0,"['all in all', 'on the whole', 'altogether', 'tout ensemble']",all in all
198039,0.428571429,"['all over', 'over']",all over
27384,0,"['however', 'nevertheless', 'withal', 'still', 'yet', 'all the same', 'even so', 'nonetheless', 'notwithstanding']",all the same
63630,0,"['altogether', 'all told', 'in all']",all told
526062,0.25,"['across-the-board', 'all-embracing', 'all-encompassing', 'all-inclusive', 'blanket', 'broad', 'encompassing', 'extensive', 'panoptic', 'wide']",all-embracing
526062,0.25,"['across-the-board', 'all-embracing', 'all-encompassing', 'all-inclusive', 'blanket', 'broad', 'encompassing', 'extensive', 'panoptic', 'wide']",all-encompassing
526062,0.25,"['across-the-board', 'all-embracing', 'all-encompassing', 'all-inclusive', 'blanket', 'broad', 'encompassing', 'extensive', 'panoptic', 'wide']",all-inclusive
6731186,0.2,"['allegation', 'allegement']",allegation
6731186,0.2,"['allegation', 'allegement']",allegement
1206153,0,"['commitment', 'allegiance', 'loyalty', 'dedication']",allegiance
1519465,0.5,"['alleviated', 'eased', 'relieved']",alleviated
13792183,0.333333333,"['alliance', 'bond']",alliance
731955,0,['allied'],allied
802946,0,"['allow', 'permit', 'tolerate']",allow
13370215,0.5,"['valuation reserve', 'valuation account', 'allowance', 'allowance account']",allowance
13370215,0.5,"['valuation reserve', 'valuation account', 'allowance', 'allowance account']",allowance account
5695446,0.333333333,['allurement'],allurement
2430191,0.333333333,['ally'],ally
8600,0,"['entirely', 'exclusively', 'solely', 'alone', 'only']",alone
250056,0.333333333,"['aboard', 'alongside']",alongside
69901,0.333333333,"['loudly', 'loud', 'aloud']",aloud
877816,0.5,['alpha'],alpha
31798,0,['already'],already
47534,0.333333333,"['besides', 'too', 'also', 'likewise', 'as well']",also
126264,0.333333333,"['change', 'alter', 'modify']",alter
7296428,0,"['change', 'alteration', 'modification']",alteration
121214,0,"['alternate', 'take turns']",alternate
137562,0.285714286,['alternately'],alternately
675928,0,"['alternate', 'alternating']",alternating
564667,0.333333333,['alternative'],alternative
13897657,0,['altitude'],altitude
63630,0,"['altogether', 'all told', 'in all']",altogether
101609,0.25,"['altruistic', 'selfless']",altruistic
7963987,0.5,['amalgam'],amalgam
1462005,0.098360656,"['mix', 'mingle', 'commix', 'unify', 'amalgamate']",amalgamate
2476637,0.142857143,"['amalgamate', 'amalgamated', 'coalesced', 'consolidated', 'fused']",amalgamated
2304982,0.333333333,"['roll up', 'collect', 'accumulate', 'pile up', 'amass', 'compile', 'hoard']",amass
1997415,0.4,['amenable'],amenable
996328,0,['amend'],amend
1246579,0.428571429,['amicable'],amicable
402030,0.2,"['amidships', 'amidship', 'midships']",amidship
402030,0.2,"['amidships', 'amidship', 'midships']",amidships
5861067,0.333333333,"['sum', 'amount', 'total']",amount
13931889,0,"['affair', 'affaire', 'intimacy', 'liaison', 'involvement', 'amour']",amour
1221290,0,['analogous'],analogous
