Channel,videoID,videoKind,videoTitle,playlistID
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,X-E6I6027DY,youtube#video,Will We All Eat Bugs in the Future?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,bmf1znpMjbI,youtube#video,Evolution FAILS in the Human Body,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,WN1yCigL3Hk,youtube#video,What Color Is A Banana?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,srzniA8EKDk,youtube#video,What Would Trees Look Like On Other Planets? #TeamTrees,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,ettIbYhADjI,youtube#video,This Face Changes the Human Story,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,myxVsYI4WZk,youtube#video,"What’s In a 20,000 Year-Old Cube of Ice?",UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,yJfgWh1U-5w,youtube#video,Money Is A Technological Fiction (The Invention of $$$),UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,jijuG9tyoR0,youtube#video,7 Scientific Urban Legends Debunked!,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,otvvUzFh5Do,youtube#video,Why Don't Birds Lay Square Eggs?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,08smCjKWNL0,youtube#video,How Blind People See With Sound… feat. Molly Burke!,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,raZvqDd6VKI,youtube#video,Do Trees Talk?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,XoxGOL-Ow9w,youtube#video,Is This Why We Haven’t Found Alien Civilizations? | STELLAR,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,XJXsIeqOKT0,youtube#video,Are We Losing the Night Sky?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,Qr28zMXQ3bU,youtube#video,Apollo’s Most Important Discovery (Inside NASA’s Moon Rock Vault!),UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,gUpKta9yfCk,youtube#video,Seeing a Black Hole with a Planet-Sized Telescope | STELLAR,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,8WsF9Z4B7T8,youtube#video,Could You Be a Chimera?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,qjRQIoHUWtY,youtube#video,Using Gene Editing To Repaint Butterfly Wings,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,5CZJJyOwiow,youtube#video,1 MILLION Species Could Go Extinct… Here’s Why.,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,IGBGlTdDs8A,youtube#video,Is Your Eye Color Real?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,UvUd4D3pjlU,youtube#video,How To Drink Coffee In Space,UUH4BNI0-FOK2dMXoFtViWHw
